Created time,Last edited by,Etapa,Actividad,Encargado,Subpractica,Property
"May 24, 2022 7:48 PM",Jorge Alan Ramírez Elías,Estimar Historia,Registrar costo estimado de la historia en plan de trabajo,TL,,Jorge Alan Ramírez Elías
"May 24, 2022 7:51 PM",Jorge Alan Ramírez Elías,Entender el item de trabajo,"Diseñar todo lo necesario para tener claro  todo lo pertinente a la historia de usuario (ui, algoritmo, modelo, etc.",,,Jorge Alan Ramírez Elías
"May 24, 2022 7:52 PM",Jorge Alan Ramírez Elías,,Consultar el WBS del equipo. En este se encuentran las actividades a seguir para dar solución al item de trabajo.,,,Jorge Alan Ramírez Elías
"May 24, 2022 7:57 PM",Jorge Alan Ramírez Elías,Leer Recomendaciones,"Recomendaciones:
• Hacer una validación y verificación en cada sección con al menos otro integrante del equipo y de ser posible también con el cliente.
• Hacer pair programing al momento del desarrollo.
• Registrar defectos encontrados en el defect log.
• Medir el tiempo que tomaste en el desarrollo de cada sección y anotarlos en el Time Log.",,,Jorge Alan Ramírez Elías
"May 24, 2022 7:52 PM",Enrique Santos Fraire,Análisis,En esta sección se lleva a cabo la inspección del item para tener un conocimiento claro sobre como funciona el mismo.,,TS 2.1,Jorge Alan Ramírez Elías
"May 24, 2022 7:53 PM",Jorge Alan Ramírez Elías,Diseño,En esta sección se realiza el diseño gráfico del ítem de trabajo.,,,Jorge Alan Ramírez Elías
"May 24, 2022 7:56 PM",Jorge Alan Ramírez Elías,Desarollo,Esta sección conlleva el desarrollo del item con base al análisis y diseño definidos anteriormente. Nota: Checar checklist de análisis y diseño.,,,Jorge Alan Ramírez Elías
"June 9, 2022 2:10 AM",Julio César Gómez González,Desarollo,"Durante esta etapa se debe aplicar la tecnica de desarrollo “Pair programming” apoyándose de la siguiente guía: https://www.notion.so/082432fd59c346259eddeb22a2abea34 ",,VER 2.1,Julio César Gómez González
"May 24, 2022 7:56 PM",Jorge Alan Ramírez Elías,Pruebas,"En esta sección se trabaja el diseño de las pruebas definidas en el plan de pruebas del equipo, así como también su ejecución y arreglos.",,,Jorge Alan Ramírez Elías
"May 24, 2022 7:56 PM",Jorge Alan Ramírez Elías,Entrega,En esta ultima sección se realiza una “entrega” al cliente en donde este validara que se haya desarrollado de manera correcta y cumpla con lo que necesitaba.,,,Jorge Alan Ramírez Elías
"May 24, 2022 7:54 PM",Jorge Alan Ramírez Elías,Validate the integrated solution,"Asegurarse de integrar a producción las historias desarrolladas al final de cada iteración
En caso de que no se cumpla con lo que debería lograr el requisito
https://www.notion.so/2def9ed783854191833873f66c47a127",,,Jorge Alan Ramírez Elías
"May 24, 2022 7:59 PM",Leonardo Alvarado Menéndez,Share the solution,Crear documentación  para el usuario,,TS3.1,Jorge Alan Ramírez Elías
"May 24, 2022 8:00 PM",Leonardo Alvarado Menéndez,,Crear documentación para el desarrollador,,TS3.1,Jorge Alan Ramírez Elías
"May 31, 2022 7:22 PM",Paola Adriana Millares Forno,Evaluación constante,"Llenar la matriz de trazabilidad con toda la información del requisito https://www.notion.so/2a6094b09f214e6a9515bc73ce626e2c ",Team Leader,RKM1.5,Paola Adriana Millares Forno
